Chemin,Instance déliberatrice,Identifiant,Majoration,Type recours,Personnalité,Décision,Code juridiction,Nom juridiction,Date,Lien fichier
../data/raw/DTA/2022/11/TA38/DTA_2002498_20221114.xml,Tribunal administratif,2002498,40%,Plein Contentieux,Personne physique,Satisfaction Partielle,38,Tribunal Administratif de Grenoble,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA38/DTA_2002498_20221114.xml
../data/raw/DTA/2022/11/TA38/DTA_2006107_20221114.xml,Tribunal administratif,2006107,40%,Plein Contentieux,Personne morale,Rejet,38,Tribunal Administratif de Grenoble,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA38/DTA_2006107_20221114.xml
../data/raw/DTA/2022/11/TA38/DTA_1905044_20221125.xml,Tribunal administratif,1905044,40%,Plein Contentieux,Personne physique,Rejet,38,Tribunal Administratif de Grenoble,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA38/DTA_1905044_20221125.xml
../data/raw/DTA/2022/11/TA38/DTA_1905713_20221110.xml,Tribunal administratif,1905713,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,38,Tribunal Administratif de Grenoble,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA38/DTA_1905713_20221110.xml
../data/raw/DTA/2022/11/TA63/DTA_1902047_20221125.xml,Tribunal administratif,1902047,40%,Plein Contentieux,Personne morale,Rejet,63,Tribunal Administratif de Clermont-Ferrand,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA63/DTA_1902047_20221125.xml
../data/raw/DTA/2022/11/TA64/DTA_2000505_20221117.xml,Tribunal administratif,2000505,40%,Plein Contentieux,Personne morale,Rejet,64,Tribunal Administratif de Pau,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA64/DTA_2000505_20221117.xml
../data/raw/DTA/2022/11/TA06/DTA_1904663_20221110.xml,Tribunal administratif,1904663,40%,Plein Contentieux,Personne morale,Satisfaction Totale,6,Tribunal Administratif de Nice,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA06/DTA_1904663_20221110.xml
../data/raw/DTA/2022/11/TA30/DTA_2002620_20221109.xml,Tribunal administratif,2002620,40%,Plein Contentieux,Personne physique,Rejet,30,Tribunal Administratif de Nîmes,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA30/DTA_2002620_20221109.xml
../data/raw/DTA/2022/11/TA30/DTA_2002167_20221109.xml,Tribunal administratif,2002167,40%,Plein Contentieux,Personne morale,Satisfaction Partielle,30,Tribunal Administratif de Nîmes,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA30/DTA_2002167_20221109.xml
../data/raw/DTA/2022/11/TA30/DTA_2002335_20221109.xml,Tribunal administratif,2002335,40%,Plein Contentieux,Personne physique,Rejet,30,Tribunal Administratif de Nîmes,2022-11,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2022/11/TA30/DTA_2002335_20221109.xml
