path,new_path,ordonnance_de_renvoi,instance,year,month,id,majoration,type_recours,test_sentence_1,sentence_1,test_sentence_2,sentence_2,personne_1,match_1,personne_2,match_2,personne_synthetic,décision,code_juridiction,nom_juridiction
../data/raw/DTA/2022/11/TA38/DTA_2002498_20221114.xml,../data/process/DTA/2022/11/DTA_2002498_20221114.xml,False,TA,2022,11,2002498,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et un mémoire enregistrés les 24 avril 2020 et 8 avril 2021, M.  A D et Mme E D, représentés par Me Fanget, demandent au tribunal :",True,"  Par une proposition de rectification du 14 décembre 2018, l'administration fiscale a remis en cause l'exonération d'impôts de la plus-value réalisée par M. et Mme D à raison de la cession, le 28 décembre 2015, d'un tènement immobilier situé au 321 promenade Clotaire Collomb à l'Alpe d'Huez, au motif que ces derniers n'occupaient pas cette habitation à titre de résidence principale au moment de la cession.",P.P.,Mme E,P.P.,Mme D,P.P.,Satisfaction partielle,38,Tribunal Administratif de Grenoble
../data/raw/DTA/2022/11/TA38/DTA_2006107_20221114.xml,../data/process/DTA/2022/11/DTA_2006107_20221114.xml,False,TA,2022,11,2006107,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et un mémoire enregistrés les 20 octobre 2020 et 27 décembre 2021, l'EURL FNE, représentée par Me Pignier, demande au tribunal :",True,"  L'EURL FNE, qui exerce une activité principale de promotion et de construction immobilière, a fait l'objet d'une vérification de comptabilité ayant porté sur la période du 1er janvier 2015 au 31 décembre 2017 en matière de taxe sur la valeur ajoutée. A l'issue de ce contrôle, elle a notamment été assujettie à des rappels de taxe sur la valeur ajoutée au titre de quatre cessions immobilières relatives à des appartements en état futur d'achèvement intervenues en 2015 et 2016, fondés sur la discordance entre le taux de taxe sur la valeur ajoutée mentionné à 20 % sur les actes notariés et le taux de 5,5 % comptabilisé et versé au Trésor.",P.M.,EURL,P.M.,EURL,P.M.,Rejet,38,Tribunal Administratif de Grenoble
../data/raw/DTA/2022/11/TA38/DTA_1905044_20221125.xml,../data/process/DTA/2022/11/DTA_1905044_20221125.xml,False,TA,2022,11,1905044,40%,Plein contentieux,True,"Vu les procédures suivantes :I / Par une requête et des mémoires enregistrés les 29 juillet 2019, 25 juillet 2022 et 24 octobre 2022, sous le n° 1905044, M. et Mme A et C B, représentés par le cabinet Concordia Avocats AARPI, demandent au tribunal :",True," Les requêtes n° 1905044 et 2007016 concernent le même contribuable, présentent à juger les mêmes questions et ont fait l'objet d'une instruction commune. Il y a lieu de les joindre pour statuer par un seul jugement.",P.P.,Mme A,not found,not found,P.P.,Rejet,38,Tribunal Administratif de Grenoble
../data/raw/DTA/2022/11/TA38/DTA_1905713_20221110.xml,../data/process/DTA/2022/11/DTA_1905713_20221110.xml,False,TA,2022,11,1905713,40%,Plein contentieux,True,"Vu les procédures suivantes :I / Par une requête, enregistrée sous le n° 1905713, le 27 août 2019, la SCI les Coulerins, représentée par la SELARL Riera, Trystram, Azéma, demande au tribunal : ",True," La SCI les Coulerins, dont M. A est le gérant, exerce une activité de promotion immobilière.",P.M.,SELARL,P.M.,SC,P.M.,Satisfaction partielle,38,Tribunal Administratif de Grenoble
../data/raw/DTA/2022/11/TA63/DTA_1902047_20221125.xml,../data/process/DTA/2022/11/DTA_1902047_20221125.xml,False,TA,2022,11,1902047,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et des mémoires, enregistrés le 16 octobre 2019, le 25 juin 2020, le 3 août 2020 et le 2 septembre 2020, la société à responsabilité limitée (SARL) Auto 2000, représentée par le cabinet "" Juri-Defi "", demande au tribunal dans le dernier état de ses écritures :",True," La société à responsabilité limitée (SARL) Auto 2000, qui exerce l'activité de commerce de véhicules automobiles, a fait l'objet d'une vérification de comptabilité du 27 mars 2017 au 28 février 2018 portant sur ses déclarations de taxe sur la valeur ajoutée au titre de la période du 1er janvier 2014 au 31 mars 2017. Par une proposition de rectification du 6 mars 2018, l'administration a remis en cause l'application du régime de la taxe sur la valeur ajoutée sur la marge bénéficiaire faite par la société Auto 2000 sur l'intégralité des véhicules d'occasion acquis auprès de quatre de ses fournisseurs français s'approvisionnant eux-mêmes auprès de sociétés bulgares et l'a informée qu'elle envisageait, en conséquence, de l'assujettir à des rappels de taxe sur la valeur ajoutée au titre de la période globale du 1er janvier 2015 au 31 mars 2017 ainsi qu'aux intérêts de retard et majorations correspondants.",P.M.,société,P.M.,société,P.M.,Rejet,63,Tribunal Administratif de Clermont-Ferrand
../data/raw/DTA/2022/11/TA64/DTA_2000505_20221117.xml,../data/process/DTA/2022/11/DTA_2000505_20221117.xml,False,TA,2022,11,2000505,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et des mémoires, enregistrés le 28 février 2020, le 2 décembre 2021 et le 3 octobre 2022, la société de droit espagnol SMI Montajes, représentée par Me Obadia, demande au tribunal :",True," La société de droit espagnol SMI Montajes, créée en 1994, et dont le siège social se situe à Trapagaran (Biscaye, Espagne), exerce une activité de montage de structures métalliques et de travaux de maintenance mécanique en Espagne et en France. Elle a pour unique cliente en France la société Celsa France, une aciérie située à Boucau (Pyrénées-Atlantiques).",P.M.,société,P.M.,société,P.M.,Rejet,64,Tribunal Administratif de Pau
../data/raw/DTA/2022/11/TA06/DTA_1904663_20221110.xml,../data/process/DTA/2022/11/DTA_1904663_20221110.xml,False,TA,2022,11,1904663,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et un mémoire, enregistrés le 27 septembre 2019 et le 27 juillet 2020, M. et Mme A B, représentés par la SCP Delplancke-Pozzo di Borgo-Rometti et associés, demandent au tribunal : ",True," La société à responsabilité limitée (SARL) Must, qui a pour objet social la location de bateaux de plaisance et dont les associés sont M. et Mme B, a fait l'objet d'une vérification de comptabilité à l'issue de laquelle l'administration l'a informée de rectifications opérées en matière de bénéfices industriels et commerciaux.",P.M.,SC,P.M.,société,P.M.,Satisfaction totale,06,Tribunal Administratif de Nice
../data/raw/DTA/2022/11/TA30/DTA_2002620_20221109.xml,../data/process/DTA/2022/11/DTA_2002620_20221109.xml,False,TA,2022,11,2002620,40%,Plein contentieux,True,"Vu la procédure suivante :Par cette requête, enregistrée le 5 septembre 2019 sous le n°2002620, M. A B, représenté par Me Foudil, demande au tribunal : ",True," M. B a fait l'objet d'un contrôle sur pièces de son dossier, à la suite duquel le pôle de contrôle et d'expertise du Gard lui a notifié des rectifications en matière d'impôt sur le revenu pour les années 2015 et 2016, concernant des dividendes perçus à hauteur de 100 000 euros pour chacune des années 2015 et 2016.",P.P.,M. A,P.P.,M. B,P.P.,Rejet,30,Tribunal Administratif de Nîmes
../data/raw/DTA/2022/11/TA30/DTA_2002167_20221109.xml,../data/process/DTA/2022/11/DTA_2002167_20221109.xml,False,TA,2022,11,2002167,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête enregistrée le 27 juillet 2020, complétée les 6 avril et 15 juin 2021, la SARL Arcade's Foods, représentée par la SELARL d'avocats Ryckman et associés, demande au tribunal : ",True," La SARL Arcade's Foods, restaurant, domiciliée au 1 boulevard Charles Gounod à Alès (30100), a fait l'objet d'une vérification de comptabilité du 14 février au 21 juin 2017 concernant les exercices clos les 30 juin 2014, 30 juin 2015 et 30 juin 2016 en matière d'impôt sur les sociétés (IS), prolongée jusqu'au 3ème trimestre 2016 en matière taxe sur la valeur ajoutée (TVA), à l'issue de laquelle elle s'est vue notifier des rappels en matière de TVA pour les années 2014 et 2015 et d'impôt sur les sociétés pour l'année 2015. Par ailleurs, la société a été assujettie aux amendes prévues à l'article 1759 du code général des impôts (CGI) pour non désignation de bénéficiaires de revenus distribués pour 2014 et 2015.",P.M.,SA,P.M.,société,P.M.,Satisfaction partielle,30,Tribunal Administratif de Nîmes
../data/raw/DTA/2022/11/TA30/DTA_2002335_20221109.xml,../data/process/DTA/2022/11/DTA_2002335_20221109.xml,False,TA,2022,11,2002335,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête enregistrée le 11 août 2020, Mme D A, représentée par Me Herisson, demande au tribunal : ",True," Mme A exerce à titre individuel la profession d'agent commercial. Elle a fait l'objet, d'une vérification de comptabilité qui a porté, en matière de bénéfices non commerciaux, sur les exercices clos en 2015, 2016 et 2017, et en matière de taxe sur la valeur ajoutée, sur la période comprise entre le 1er janvier 2015 et le 31 août 2018.",P.P.,Mme D,P.P.,Mme A,P.P.,Rejet,30,Tribunal Administratif de Nîmes
../data/raw/DTA/2022/11/TA30/DTA_2003002_20221109.xml,../data/process/DTA/2022/11/DTA_2003002_20221109.xml,False,TA,2022,11,2003002,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête enregistrée le 7 octobre 2020, la SARL Eurotrades et M. et Mme D A, représentés par Me Herisson, doivent être regardés comme demandant au tribunal :",True," La SARL Eurotrades, dont M. A est le dirigeant, exerce l'activité de recyclage et de commercialisation de matières plastiques.",P.M.,SA,P.M.,SA,P.M.,Rejet,30,Tribunal Administratif de Nîmes
../data/raw/DTA/2022/11/TA83/DTA_2002781_20221121.xml,../data/process/DTA/2022/11/DTA_2002781_20221121.xml,False,TA,2022,11,2002781,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et un mémoire, enregistrés les 13 octobre 2020 et 22 novembre 2021, M. A D, agissant en qualité de liquidateur judiciaire de la société anonyme (SA) des Boucheries Tropéziennes, représenté par Me Munoz, demande au tribunal :",True, La SA des Boucheries Tropéziennes exploitait une boucherie située à Saint-Tropez. La société a été placée en redressement judiciaire le 19 avril 2010.,P.M.,société,P.M.,société,P.M.,Rejet,83,Tribunal Administratif de Toulon
../data/raw/DTA/2022/11/TA83/DTA_2002778_20221121.xml,../data/process/DTA/2022/11/DTA_2002778_20221121.xml,False,TA,2022,11,2002778,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête, enregistrée le 13 octobre 2020, M. et Mme A D, représentés par Me Munoz, demandent au tribunal :",True," La SA des Boucheries Tropéziennes, qui exploitait une boucherie située à Saint-Tropez, a fait l'objet d'une vérification de comptabilité. L'administration a considéré que cette société avait distribué, en 2011, des revenus à M.",P.P.,Mme A,P.M.,société,P.M.,Rejet,83,Tribunal Administratif de Toulon
../data/raw/DTA/2022/11/TA77/DTA_1903162_20221104.xml,../data/process/DTA/2022/11/DTA_1903162_20221104.xml,False,TA,2022,11,1903162,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et un mémoire, enregistrés le 5 avril 2019 et le 22 juillet 2022, Mme B A, représentée par Me Jaulin, demande au tribunal : ",True," La société Idakou, dont Mme A était la présidente et l'associée, a été soumise en 2014 à une vérification de comptabilité, dans les suites de laquelle le dossier fiscal personnel de la requérante a fait l'objet d'un contrôle sur pièces au titre des années 2011 à 2013. A l'issue de ce contrôle, le service a imposé entre les mains de Mme A plusieurs sommes provenant de la société Idakou, dans la catégorie des revenus de capitaux mobiliers.",P.P.,Mme B,P.M.,société,P.M.,Rejet,77,Tribunal Administratif de MELUN
../data/raw/DTA/2022/11/TA77/DTA_1910496_20221125.xml,../data/process/DTA/2022/11/DTA_1910496_20221125.xml,False,TA,2022,11,1910496,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête enregistrée le 23 novembre 2019, M. A B demande au tribunal de prononcer la décharge, en droits et pénalités, des rappels de taxe sur la valeur ajoutée qui lui ont été réclamés et des cotisations supplémentaires d'impôt sur le revenu auxquels il a été assujetti pour la période du 1er janvier 2013 au 31 décembre 2014, pour un montant total de 141 128 euros. ",True, M. B exerce la profession de couvreur.,P.P.,M. A,P.P.,M. B,P.P.,Rejet,77,Tribunal Administratif de MELUN
../data/raw/DTA/2022/11/TA77/DTA_1809253_20221104.xml,../data/process/DTA/2022/11/DTA_1809253_20221104.xml,False,TA,2022,11,1809253,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête enregistrée le 8 novembre 2018, M. C A, représenté par Me Foissac et Me Adady, demande au tribunal :",True,error,P.P.,M. C,error,error,P.P.,Rejet,77,Tribunal Administratif de MELUN
../data/raw/DTA/2022/11/TA77/DTA_1805308_20221104.xml,../data/process/DTA/2022/11/DTA_1805308_20221104.xml,False,TA,2022,11,1805308,40%,Plein contentieux,True,"Vu la procédure suivante :Par une requête et un mémoire, enregistrés le 27 juin 2018 et le 30 mars 2021, M. A B, représenté par Me Renaud, doit être regardé comme demandant au tribunal :",True," La SARL Chez Omar dont M. B est le gérant et l'associé, a été soumise à une vérification de comptabilité au titre de la période du 1er janvier 2012 au 31 décembre 2014.",P.P.,M. A,P.M.,SA,P.M.,Rejet,77,Tribunal Administratif de MELUN
